id,left_0,left_1,left_2,left_3,left_4,left_5,right_0,right_1,right_2,right_3,right_4,right_5,direct_0,direct_1,direct_2,direct_3,direct_4,direct_5
402,0,0,1,0,5,0,0,0,0,0,2,1,0,0,4,0,5,3
1879,0,0,15,0,2,3,0,0,0,0,4,3,0,0,12,0,30,13
569,0,0,1,0,0,0,0,0,0,0,3,0,0,1,12,0,21,0
751,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16,0,15,4
468,0,0,0,0,2,5,0,0,0,0,4,7,0,0,3,0,25,38
755,0,2,0,0,0,0,0,0,0,0,1,0,0,7,5,0,5,0
637,0,0,1,0,2,20,0,0,0,0,1,8,0,0,1,0,9,19
2421,0,0,0,0,0,1,0,0,1,0,29,7,0,0,0,0,65,6
1351,0,0,2,0,3,14,0,0,3,0,25,5,0,0,10,0,5,19
1219,0,0,0,0,7,0,0,0,1,0,0,2,0,0,8,0,28,7
1849,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,4
463,0,0,0,0,1,0,0,0,0,0,4,0,0,0,8,0,23,9
99,0,0,0,0,0,0,0,0,3,0,1,0,0,0,9,0,5,2
1396,0,0,2,0,5,1,0,0,3,0,2,0,0,3,25,0,15,2
1865,0,0,1,0,1,1,0,0,1,0,4,4,0,0,3,0,2,1
229,0,0,0,0,0,0,0,0,1,0,1,1,0,0,19,0,4,4
164,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,8
165,0,0,0,0,6,1,0,0,0,0,2,2,0,1,0,0,54,27
166,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,5
167,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4
95,0,0,0,0,0,0,0,0,1,0,2,0,0,0,19,0,40,1
97,0,1,2,0,3,2,0,1,2,0,4,5,1,3,6,0,10,2
220,0,0,0,0,0,3,0,0,0,0,11,2,0,0,1,0,20,7
11,0,0,3,0,6,1,0,0,9,0,8,3,0,0,9,0,24,4
965,0,0,0,0,0,4,0,0,0,0,3,3,0,0,7,0,19,0
274,0,0,0,0,0,3,0,0,0,0,1,1,0,0,5,0,4,3
1026,0,0,0,0,6,5,0,0,4,0,2,5,0,0,19,0,21,3
960,0,0,0,0,1,9,0,0,1,0,0,11,0,0,1,0,6,25
